p,q,column_id,p_mapped,q_mapped,x,y,z,dx,dy,dz,side
-14,-3,435,-15.235355505029311,-4.000661742833621,133.68072509765625,-271.5997314453125,-163.92828369140625,0.8627114794612422,-0.1214763137257624,-0.4908894054768293,right
-14,-2,449,-15.22201794118536,-2.935349572915609,141.72232055664062,-261.574951171875,-152.9951171875,0.8922013232007261,-0.07623690449309178,-0.44515697598957676,right
-14,-1,722,-15.208680377341409,-1.8700374029976004,148.3397216796875,-250.39501953125,-141.93661499023438,0.9153115032365938,-0.025701821692918462,-0.4019257001044252,right
-14,0,11,-15.195342813497458,-0.8047252330795878,153.36032104492188,-238.0029296875,-130.84164428710938,0.9318714008463094,0.029672042107915325,-0.36157331511310836,right
-14,1,666,-15.182005249653507,0.260586936838424,156.59405517578125,-224.348388671875,-119.80319213867188,0.9416744162349535,0.08918752012182886,-0.3244917257235963,right
-13,-15,791,-14.32046709487863,-16.722704086914145,-32.427734375,-323.1640625,-241.338623046875,0.070551898392651,-0.21283394430561076,-0.9745379119277552,right
-13,-14,104,-14.307129531034679,-15.657391916996131,-17.307861328125,-326.78857421875,-239.8868408203125,0.14642220537834735,-0.26751203900434145,-0.9523643455946262,right
-13,-13,565,-14.293791967190725,-14.592079747078119,-2.1181640625,-328.86181640625,-236.86474609375,0.22601307160776313,-0.3080932036340508,-0.924119402099605,right
-13,-12,27,-14.280454403346777,-13.526767577160108,13.022216796875,-329.55908203125,-232.483642578125,0.3069237840060791,-0.33632214591924053,-0.8903287061392926,right
-13,-11,35,-14.267116839502824,-12.461455407242095,28.004150390625,-329.021240234375,-226.90447998046875,0.38752150846437694,-0.3536975648089397,-0.8513078838620726,right
-13,-10,735,-14.253779275658873,-11.396143237324083,42.7152099609375,-327.355712890625,-220.29229736328125,0.4658968532249369,-0.36120620296836287,-0.8077562757987582,right
-13,-9,717,-14.240441711814924,-10.330831067406072,57.052001953125,-324.64794921875,-212.78872680664062,0.5404768242048783,-0.3600803694731235,-0.7604123420996716,right
-13,-8,83,-14.227104147970975,-9.265518897488064,70.91571044921875,-320.9407958984375,-204.521728515625,0.6100270024143504,-0.35092474719161515,-0.7104356959879361,right
-13,-7,632,-14.213766584127024,-8.20020672757005,84.20645141601562,-316.27044677734375,-195.6075439453125,0.6737078971535235,-0.3346308097896446,-0.6588929279120423,right
-13,-6,480,-14.200429020283073,-7.134894557652041,96.820556640625,-310.6451187133789,-186.14862060546875,0.7310710026193651,-0.31180842441260326,-0.6068860647555242,right
-13,-5,300,-14.187091456439124,-6.069582387734029,108.65495300292969,-304.0613098144531,-176.244384765625,0.7819943721734901,-0.2830070107939037,-0.5553303825026038,right
-13,-4,293,-14.17375389259517,-5.004270217816018,119.59867858886719,-296.49603271484375,-165.98275756835938,0.8265280870633337,-0.24855654321057202,-0.5050455089619523,right
-13,-3,18,-14.160416328751225,-3.9389580478980073,129.53733825683594,-287.91943359375,-155.44985961914062,0.8648455256468451,-0.20869598554420618,-0.4566050836186175,right
-13,-2,10,-14.14707876490727,-2.8736458779799956,138.34112548828125,-278.2874755859375,-144.72900390625,0.8970935724468714,-0.16352713871054225,-0.4104655858651894,right
-13,-1,149,-14.133741201063323,-1.8083337080619832,145.87615966796875,-267.55718994140625,-133.90213012695312,0.9233070610481529,-0.11316026303808559,-0.36701338652394383,right
-13,0,542,-14.12040363721937,-0.7430215381439707,151.99050903320312,-255.677978515625,-123.05253601074219,0.9434105807649309,-0.057777889868613534,-0.32655503600940866,right
-13,1,595,-14.107066073375421,0.3222906317740402,156.51806640625,-242.6002197265625,-112.26779174804688,0.9571902586151092,0.0022205366514287178,-0.2894509941757327,right
